model number,number layers, number nodes, mean error, mean enzyme error, score
54.1,30,306,0.204924370109311,0.43753994694977,0.642464317059081
55.1,20,293,0.201602764449423,0.452889739965624,0.654492504415047
56.1,18,267,0.205528769896296,0.47334044579113,0.678869215687427
57.1,20,293,0.232611449055092,0.523372407568996,0.755983856624088
58.1,24,300,0.215277671002614,0.557513882009063,0.772791553011677
59.1,20,298,0.230883928762678,0.548708251176159,0.779592179938837
60.1,20,319,0.204971286288817,0.438611447153143,0.64358273344196
61.1,18,254,0.237193331782293,0.529522202957668,0.766715534739962
62.1,26,297,0.225233029886178,0.486720749243127,0.711953779129305
63.1,32,307,0.22956159962592,0.505033407216062,0.734595006841981
64.1,22,309,0.176992957872141,0.433456140490788,0.610449098362929
65.1,20,299,0.238416039311699,0.537538690162639,0.775954729474338
66.1,18,268,0.221619513480221,0.472967962074115,0.694587475554336
67.1,22,253,0.239025649085806,0.529795832257474,0.76882148134328
68.1,18,318,0.191232163656384,0.46814800110984,0.659380164766225
69.1,22,293,0.233825660448255,0.498747282226616,0.732572942674871
33.2,22,262,0.230062148630363,0.456372263433978,0.686434412064341
34.2,18,313,0.225605694065176,0.505207558184334,0.730813252249509
35.2,20,262,0.190790438067299,0.351539703430666,0.542330141497965
36.2,20,297,0.208524419101103,0.435733524924433,0.644257944025536
37.2,26,307,0.193839516942899,0.420798651403448,0.614638168346347
38.2,22,272,0.234140011897823,0.520356253179327,0.75449626507715
39.2,22,319,0.18565924606229,0.372771087696062,0.558430333758353
40.2,18,297,0.236093712792002,0.482897056083618,0.71899076887562
41.2,26,252,0.197017800721413,0.346660684274597,0.54367848499601
42.2,22,254,0.188443653633972,0.350721987635778,0.53916564126975
43.2,18,283,0.221463347291936,0.473551860855331,0.695015208147268
44.2,18,302,0.211497277455496,0.487570478289288,0.699067755744784
45.2,24,280,0.191548244091228,0.392415255415332,0.58396349950656
46.2,32,280,0.168944472950302,0.345266956900876,0.514211429851178
47.2,20,293,0.215625556392448,0.438024221610248,0.653649778002697
48.2,18,297,0.223747153288307,0.465327347677106,0.689074500965413
49.2,18,316,0.187801900185856,0.385551006824543,0.573352907010399
50.2,20,273,0.207026008230612,0.439837552154556,0.646863560385168
51.2,18,297,0.236174543653614,0.486905703545877,0.723080247199491
52.2,18,297,0.15027629779932,0.280383194925348,0.430659492724669
53.2,24,315,0.190246184798998,0.369569548332266,0.559815733131264
54.2,30,306,0.180843402369328,0.394670590998401,0.575513993367729
55.2,20,293,0.191827500041848,0.42120300949019,0.613030509532038
56.2,18,267,0.211124342815715,0.427488625643134,0.638612968458849
57.2,20,293,0.213730186862298,0.458611736011916,0.672341922874214
58.2,24,300,0.202972681459221,0.46647857312604,0.669451254585261
59.2,20,298,0.212730437291147,0.444390349056257,0.657120786347404
60.2,20,319,0.193659340299173,0.396050354344877,0.58970969464405
61.2,18,254,0.225423801943818,0.471184831357251,0.696608633301069
62.2,26,297,0.217348857275451,0.446496863764763,0.663845721040214
63.2,32,307,0.214807770918327,0.429958564867819,0.644766335786146
64.2,22,309,0.163565052613186,0.341971126603734,0.505536179216919
65.2,20,299,0.231310412723468,0.529378185014035,0.760688597737503
66.2,18,268,0.192821730697693,0.411431944483699,0.604253675181392
67.2,22,253,0.235187148476707,0.510793799666346,0.745980948143053
68.2,18,318,0.201119033882681,0.353443715439505,0.554562749322185
69.2,22,293,0.220377905744481,0.456671399209196,0.677049304953677
,,,,,
33.3,22,262,0.231797945057088,0.423503877023645,0.655301822080733
34.3,18,313,0.244804090580296,0.468874471689879,0.713678562270175
35.3,20,262,0.194558590332432,0.344562868604117,0.539121458936549
36.3,20,297,0.215411954878584,0.423515367092122,0.638927321970706
37.3,26,307,0.20686117092287,0.387046117064038,0.593907287986908
38.3,22,272,0.245922493451135,0.506167507341922,0.752090000793058
39.3,22,319,0.198999504009726,0.353816397775951,0.552815901785677
40.3,18,297,0.254940576364972,0.448425580796417,0.703366157161389
41.3,26,252,0.207159658863531,0.325745239015278,0.532904897878809
42.3,22,254,0.181262972267229,0.326543762260697,0.507806734527926
43.3,18,283,0.233916699601514,0.457604010351054,0.691520709952568
44.3,18,302,0.225011660932206,0.47151476264389,0.696526423576096
45.3,24,280,0.187257481173819,0.365248324552939,0.552505805726758
46.3,32,280,0.177017002514721,0.325834979529898,0.502851982044619
47.3,20,293,0.227035949597566,0.410810218939053,0.637846168536619
48.3,18,297,0.235017813094956,0.450291689148806,0.685309502243763
49.3,18,316,0.201282672964295,0.359434577441372,0.560717250405667
50.3,20,273,0.204758667133721,0.374715202625448,0.579473869759169
51.3,18,297,0.241898346108478,0.464544758766905,0.706443104875383
52.3,18,297,0.15305795056297,0.262176317769963,0.415234268332934
53.3,24,315,0.195723488378535,0.349924737646374,0.545648226024909
54.3,30,306,0.186097553225944,0.376844878454809,0.562942431680753
55.3,20,293,0.203802249193382,0.400549203393328,0.60435145258671
56.3,18,267,0.213721005248311,0.421246535710918,0.634967540959229
57.3,20,293,0.215013402335644,0.421010493898333,0.636023896233977
